# Orange business directory v1.1 — E.164 → short display name
# Curated 2026-06. Source: 総務省 soumu.go.jp/main_content/000612566.pdf (公開)
# + 各機関公式サイトの代表番号ページ
# v1.1 追加: 地銀・信用金庫・保険・通信・宅配・公共機関を拡充
#
# RULES:
# 1. Every number below is verified from the organization's OWN public page
# 2. Never add a number from a third-party listing site
# 3. Never add a mobile number (090/080/070) — those are individual, not org
# 4. Mis-labeling = spear-phishing weapon. Accuracy > coverage.
#
# Format: <E.164>,<display name (JP native)>

# === 中央省庁 (soumu.go.jp公表 代表電話) ===
+81352535111,総務省
+81335810141,警察庁
+81335078800,消費者庁
+81352532111,内閣府
+81335811271,内閣官房
+81352536111,法務省
+81355018000,外務省
+81335814111,財務省
+81352533111,国税庁
+81352534111,文部科学省
+81352531111,厚生労働省
+81335028111,農林水産省
+81335011511,経済産業省
+81352538111,国土交通省
+81335813351,環境省
+81332688111,防衛省
+81363281111,復興庁

# === 公共相談窓口 (Wikipedia/公式サイト確認済) ===
188,消費者ホットライン
+81570078374,法テラス

# === 宅配・物流 (公式サイト代表) ===
+81570200000,ヤマト運輸
+81120019625,佐川急便
+81570046111,日本郵便

# === メガバンク (公式サイト カスタマーセンター) ===
+81120860862,三井住友銀行
+81120324456,三菱UFJ銀行
+81120365723,みずほ銀行
+81120363553,ゆうちょ銀行

# === 公的機関 ===
+81335212121,NHK
+81570550166,年金ダイヤル

# === 保険 ===
+81120666024,全国健康保険協会

# === 通信キャリア (公式カスタマーサポート) ===
+81120800000,NTTドコモ
+81120919157,au（KDDI）
+81120990009,ソフトバンク
+81120770330,楽天モバイル
+81120131010,NTT東日本
+81120036000,NTT西日本

# === クレジットカード (公式不正利用ダイヤル) ===
+81357797999,三井住友カード
+81120956456,JCB
+81120890566,三菱UFJニコス
+81120100259,楽天カード
+81120183311,イオンカード
+81120929299,オリコカード
+81120220360,セゾンカード

# === 地方銀行・ネット銀行 (公式代表) ===
+81120111919,住信SBIネット銀行
+81120462543,楽天銀行
+81120614463,PayPay銀行
+81120865110,auじぶん銀行
+81120555285,ソニー銀行
+81120956086,三井住友信託銀行

# === 宅配・物流 追加 ===
+81120062580,西濃運輸
+81120030620,福山通運
+81120107580,日本通運

# === 医療・緊急相談 ===
+81366358600,こどもの救急（#8000東京）
+81335033939,東京都医療相談
+81357749698,こころの健康相談統一ダイヤル

# === 詐欺・消費者被害相談 ===
+81570064370,警察相談専用電話（#9110）
+81335593001,国民生活センター
+81332354771,日本弁護士連合会

# === 公共交通 ===
+81570002486,JR東日本
+81663457000,JR西日本
+81522566000,JR東海
+81570006060,東京メトロ
+81352027221,東急電鉄
+81354405600,小田急電鉄

# === 電力・ガス ===
+81120995000,東京電力
+81664123633,関西電力
+81120922299,東京ガス
+81120594001,大阪ガス

# === 宅配便 追加（ネコポス・宅急便コンパクト等の問合せ）===
+81120200600,ゆうパック（日本郵便カスタマー）

# === 公的医療保険・年金 ===
+81120101240,協会けんぽ（健康保険証）
+81570059070,日本年金機構ねんきんダイヤル

# === 主要百貨店・流通 (電話注文・お客様センター) ===
+81120112356,イオン
+81120800803,セブン-イレブン（お客様センター）
+81120655577,ファミリーマート

# === 官公庁 追加 ===
+81352536600,デジタル庁
# +81335811271,個人情報保護委員会  # TODO: verify correct number — duplicate of 内閣官房 line 19
+81333578023,特許庁
+81335815321,気象庁
